food_id,alimento,agua,alcohol,calcio,carbohidratos,colesterol,equivalentes_de_niacina_totales,fibra_dietetica_total,folato_total,fósforo,grasa_total,hierro_total,ioduro,magnesio,potasio,proteina_total,riboflavina,selenio_total,sodio,tiamina,viamina_e_equivalentes_de_alfa_tocoferol_de_actividades_de_vitámeros_e,vitamina_a_equivalentes_de_retinol_de_actividades_de_retinos_y_carotenoides,vitamina_b12,vitamina_b6_total,vitamina_c,vitamina_d,zinc,ácido_graso_120,ácido_graso_140,ácido_graso_160,ácido_graso_180,ácido_graso_181_n9_cis,ácido_graso_182,ácido_graso_183,ácido_graso_204_n6,ácido_graso_205,ácido_graso_226_n3,ácidos_grasos_monoinsaturados_totales,ácidos_grasos_poliinsaturados_totales,ácidos_grasos_saturados_totales,energia_kj,energia_kcal
2310,Salchichón,38.0,0.0,15.0,2.0,72.0,10.0,0.0,3.0,260.0,34.7,2.4,14.7,10.0,207.0,25.8,0.21,26.1,1060.0,0.2,0.28,0.0,1.0,0.15,0.0,0.0,1.7,0.0,0.44,7.447,1.414,12.72,3.713,0.25,0.0,0.0,0.0,15.93,5.83,12.3,1757.0,422.0
2311,Sobrasada,24.0,0.0,15.0,0.0,72.0,2.68,0.0,2.0,310.0,61.4,1.9,11.0,25.0,259.0,12.9,0.27,21.1,1264.0,0.6,0.57,363.0,0.9,0.2,0.0,0.0,1.5,,,,,,,,,,,28.91,8.91,20.7,2491.0,598.0
2312,Besugo,80.1,0.0,40.72,0.0,56.5,2.89,0.0,10.41,210.0,1.8,0.8,7.07,25.21,310.0,18.12,0.06,45.0,20.0,0.06,1.48,9.0,2.91,0.05,0.0,0.19,0.44,,,,,,0.001,0.001,0.021,0.073,0.181,0.6,0.301,0.4,375.0,90.0
2313,Bogavante,79.7,0.0,60.0,0.0,150.0,5.3,0.0,17.0,261.0,2.0,0.7,37.0,34.0,220.0,18.3,0.11,63.6,270.0,0.12,0.4,0.0,1.0,0.06,0.0,0.0,2.3,,,,,,,,,,,0.38,0.74,0.24,385.0,92.0
2314,Bonito en aceite vegetal,64.7,0.0,28.5,0.0,46.7,13.5,0.0,15.5,,11.5,1.0,37.0,29.0,333.0,23.875,0.11,60.1,396.0,0.05,7.2,,5.0,0.42,0.0,23.8,1.1,,,,,,,,,,,3.1,5.4,1.8,831.0,200.0
2315,"Ternera, parte sin especificar, cruda, con grasa separable",62.3,0.0,7.0,0.0,65.0,7.2,0.0,10.0,200.0,21.0,1.9,3.0,17.0,350.0,16.7,0.2,3.0,61.0,0.05,0.19,0.0,1.0,0.25,0.0,0.0,3.3,0.0018,0.07,0.66,0.35,0.9,0.08,0.02,0.025,0.007,0.018,9.33,1.25,8.51,1061.0,255.0
2316,Boquerón,76.1,0.0,30.0,0.0,69.0,8.3,0.0,8.7,182.0,6.3,1.0,45.0,29.0,331.0,17.6,0.3,36.5,116.0,0.06,0.02,47.0,1.9,1.1,0.0,8.0,0.5,,,,,,,,,,,1.33,2.18,1.65,532.0,128.0
2317,Tocino,20.6,0.0,6.0,0.0,57.0,1.3,0.0,0.0,177.0,71.0,0.7,11.0,5.0,75.0,8.4,0.02,1.0,560.0,0.1,0.03,0.0,0.0,0.37,0.0,0.0,0.4,,,,,,,,,,,29.86,10.86,29.38,2770.0,665.0
2318,"Boquerón, frito",72.9,0.0,26.79,0.5,69.0,6.84,0.0,4.57,182.0,6.0,0.93,18.5,26.6,331.0,20.09,0.21,0.0,104.0,0.05,0.02,28.71,1.66,0.01,0.0,6.3,0.43,,,,,,,,,,,0.81,2.3,2.3,572.0,137.0
2319,"Caballa, cruda",69.4,0.0,12.0,0.0,76.0,12.47,0.0,1.2,244.0,11.9,1.2,51.0,30.0,386.0,18.68,0.36,39.0,84.0,0.13,1.3,45.0,9.0,0.63,0.0,4.0,0.519,,0.102,0.616,0.355,0.705,0.07,0.037,0.067,0.267,0.796,2.363,2.47,3.449,758.0,182.0
